Variable,Coeficiente,Coef_Abs,Peso_%,Coef_Cuadrado,Peso_Wald_%
InternetService,1.1362007427568896,1.1362007427568896,34.200954026456145,1.2909521278413076,54.323567262160886
Contract,-0.8489128427064042,0.8489128427064042,25.55325657983854,0.7206530145118681,30.325247282389434
PaperlessBilling,0.35840682006580893,0.35840682006580893,10.788459041222312,0.12845544866968514,5.40543530275392
StreamingTV,0.30081345575398116,0.30081345575398116,9.054832287662599,0.09048873516265238,3.8077871247604276
StreamingMovies,0.2889582832861474,0.2889582832861474,8.697977910359269,0.08349688947967743,3.513568624279805
PaymentMethod,-0.22684904934442626,0.22684904934442626,6.828418267663519,0.05146049118846994,2.1654694966073347
Partner,-0.084169765578385,0.084169765578385,2.533607112400808,0.007084549437520285,0.2981194961387031
tenure,-0.058997306524169825,0.058997306524169825,1.7758870349107052,0.0034806821771068515,0.14646791952111177
MonthlyCharges,-0.01845486662774869,0.01845486662774869,0.5555127904321954,0.0003405821022479923,0.014331774463778807
TotalCharges,0.0003685888220005509,0.0003685888220005509,0.011094949053913589,1.358577197037538e-07,5.7169245979335815e-06
