Modelo,N_Variables,AUC_Train,Gini_Train,AUC_Test,Gini_Test
Logistica_10,10,0.8449288589082252,0.6898577178164504,0.8351797112403001,0.6703594224806002
Logistica_8,8,0.8409545944107477,0.6819091888214954,0.8323337871626694,0.6646675743253387
XGBoost_8,8,0.8569879420505803,0.7139758841011605,0.8406217807020722,0.6812435614041443
